"","sample_code","sample_type","infected_count","disease","organ","portion","branch","total_count","leaf_incidence","Shade_tree_species","Section_of_Kaweri","Coffee_Variety","distance","Shade_tree_soil_sample_CODE","distance_class","log_total_count"
"103","FIC1COF3_Kita","No_CLR_leaves_lower_portion_3rd_branch",3,"CLR","leaves","lower","3rd",20,0.15,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.99573227355399
"104","FIC1COF3_Kita","No_CLR_leaves_lower_portion_4th_branch",1,"CLR","leaves","lower","4th",51,0.0196078431372549,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",3.93182563272433
"105","FIC1COF3_Kita","No_CRBD_leaves_lower_portion_1st_branch",2,"CRBD","leaves","lower","1st",13,0.153846153846154,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.56494935746154
"106","FIC1COF3_Kita","No_CRBD_leaves_lower_portion_2nd_branch",5,"CRBD","leaves","lower","2nd",15,0.333333333333333,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.70805020110221
"107","FIC1COF3_Kita","No_CRBD_leaves_lower_portion_3rd_branch",0,"CRBD","leaves","lower","3rd",20,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.99573227355399
"108","FIC1COF3_Kita","No_CRBD_leaves_lower_portion_4th_branch",1,"CRBD","leaves","lower","4th",51,0.0196078431372549,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",3.93182563272433
"109","FIC1COF3_Kita","No_CRBD_berries_lower_portion_1st_branch",0,"CRBD","berries","lower","1st",42,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",3.73766961828337
"110","FIC1COF3_Kita","No_CRBD_berries_lower_portion_2nd_branch",8,"CRBD","berries","lower","2nd",104,0.0769230769230769,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",4.64439089914137
"111","FIC1COF3_Kita","No_CRBD_berries_lower_portion_3rd_branch",0,"CRBD","berries","lower","3rd",36,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",3.58351893845611
"112","FIC1COF3_Kita","No_CRBD_berries_lower_portion_4th_branch",1,"CRBD","berries","lower","4th",29,0.0344827586206897,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",3.36729582998647
"113","FIC1COF3_Kita","No_CWD_leaves_middle_portion_1st_branch",0,"CWD","leaves","middle","1st",18,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.89037175789616
